config,P@1,R@1,NDCG@1,HitRate@1,P@3,R@3,NDCG@3,HitRate@3,P@5,R@5,NDCG@5,HitRate@5,P@10,R@10,NDCG@10,HitRate@10,P@100,R@100,NDCG@100,HitRate@100,MAP,MRR
TF-IDF only,0.2750,0.0015,0.2250,0.2750,0.2417,0.0036,0.2073,0.4500,0.2250,0.0056,0.1908,0.5500,0.2125,0.0107,0.1857,0.6750,0.1638,0.0784,0.1457,1.0000,0.0616,0.4103
BM25 only,0.1250,0.0006,0.1083,0.1250,0.2083,0.0029,0.1726,0.3750,0.1900,0.0044,0.1636,0.4250,0.1900,0.0092,0.1566,0.6250,0.1783,0.0843,0.1453,0.9500,0.0911,0.2798
Hybrid lexical (TF-IDF+BM25),0.2250,0.0010,0.2083,0.2250,0.2000,0.0027,0.1946,0.3250,0.2000,0.0048,0.1824,0.4250,0.2000,0.0092,0.1743,0.5250,0.1765,0.0837,0.1495,0.9500,0.0883,0.3353
Embeddings (E5),0.2250,0.0012,0.2083,0.2250,0.2167,0.0032,0.1905,0.3500,0.2150,0.0053,0.1845,0.4250,0.1975,0.0093,0.1708,0.5750,0.1753,0.0872,0.1477,1.0000,0.0478,0.3355
+ L1 hybrid signals,0.2250,0.0012,0.2083,0.2250,0.2000,0.0030,0.1827,0.3250,0.2100,0.0052,0.1803,0.4000,0.2025,0.0095,0.1717,0.6000,0.1765,0.0877,0.1495,1.0000,0.0486,0.3362
+ Cross-Encoder,0.2250,0.0012,0.2083,0.2250,0.2000,0.0030,0.1827,0.3250,0.2100,0.0052,0.1803,0.4000,0.2025,0.0095,0.1717,0.6000,0.1765,0.0877,0.1495,1.0000,0.0486,0.3362
+ RAG-Fusion + MMR (Full),0.2500,0.0014,0.2000,0.2500,0.1083,0.0022,0.1130,0.3000,0.0850,0.0026,0.0913,0.3250,0.0850,0.0046,0.0785,0.4750,0.1260,0.0597,0.1095,0.9750,0.0333,0.3250
