config,P@1,R@1,NDCG@1,HitRate@1,P@3,R@3,NDCG@3,HitRate@3,P@5,R@5,NDCG@5,HitRate@5,P@10,R@10,NDCG@10,HitRate@10,P@100,R@100,NDCG@100,HitRate@100,MAP,MRR
TF-IDF only,0.1087,0.0008,0.0942,0.1087,0.1087,0.0018,0.0976,0.2609,0.1130,0.0029,0.0956,0.3261,0.0978,0.0051,0.0810,0.4348,0.0965,0.0561,0.0831,0.8478,0.0428,0.2281
BM25 only,0.1522,0.0010,0.1377,0.1522,0.1667,0.0031,0.1540,0.3043,0.1739,0.0053,0.1544,0.3696,0.1935,0.0114,0.1614,0.4348,0.1889,0.1146,0.1780,0.8913,0.1323,0.2706
Hybrid lexical (TF-IDF+BM25),0.1739,0.0012,0.1594,0.1739,0.1594,0.0027,0.1436,0.2826,0.1826,0.0050,0.1518,0.3913,0.1587,0.0089,0.1372,0.4565,0.1802,0.1083,0.1674,0.8913,0.1237,0.2779
Embeddings (E5),0.1739,0.0008,0.1594,0.1739,0.1449,0.0022,0.1313,0.2391,0.1522,0.0039,0.1282,0.3913,0.1348,0.0069,0.1204,0.4783,0.1513,0.0834,0.1341,0.9565,0.2044,0.2666
+ L1 hybrid signals,0.1739,0.0009,0.1739,0.1739,0.1377,0.0021,0.1423,0.2174,0.1435,0.0036,0.1414,0.3478,0.1522,0.0077,0.1432,0.5000,0.1628,0.0910,0.1575,0.9783,0.1705,0.2641
+ Cross-Encoder,0.1739,0.0009,0.1739,0.1739,0.1377,0.0021,0.1423,0.2174,0.1435,0.0036,0.1414,0.3478,0.1522,0.0077,0.1432,0.5000,0.1628,0.0910,0.1575,0.9783,0.1705,0.2641
+ RAG-Fusion + MMR (Full),0.2391,0.0013,0.2101,0.2391,0.1304,0.0022,0.1370,0.3261,0.0957,0.0028,0.1088,0.3913,0.1043,0.0060,0.1035,0.5435,0.2028,0.1201,0.1800,0.9783,0.1694,0.3279
