config,P@1,R@1,NDCG@1,HitRate@1,P@3,R@3,NDCG@3,HitRate@3,P@5,R@5,NDCG@5,HitRate@5,P@10,R@10,NDCG@10,HitRate@10,P@100,R@100,NDCG@100,HitRate@100,MAP,MRR
TF-IDF only,0.2000,0.0012,0.1333,0.2000,0.1333,0.0013,0.1156,0.3000,0.1400,0.0017,0.1259,0.4000,0.1300,0.0031,0.1154,0.6000,0.1500,0.0321,0.1266,1.0000,0.0473,0.3258
BM25 only,0.2000,0.0011,0.2000,0.2000,0.1333,0.0013,0.1469,0.3000,0.1800,0.0027,0.1568,0.6000,0.1900,0.0056,0.1701,0.9000,0.1750,0.0466,0.1566,1.0000,0.0568,0.3686
Hybrid lexical (TF-IDF+BM25),0.1000,0.0006,0.1000,0.1000,0.1333,0.0010,0.1235,0.3000,0.2200,0.0034,0.1598,0.6000,0.1600,0.0042,0.1400,0.7000,0.1530,0.0338,0.1353,1.0000,0.0542,0.2898
Embeddings (E5),0.2000,0.0003,0.2000,0.2000,0.2000,0.0016,0.1626,0.4000,0.2800,0.0041,0.2167,0.7000,0.2700,0.0071,0.2266,0.8000,0.2550,0.0751,0.2143,1.0000,0.2253,0.3637
+ L1 hybrid signals,0.2000,0.0003,0.2000,0.2000,0.3333,0.0033,0.2551,0.6000,0.3200,0.0048,0.2476,0.6000,0.3000,0.0082,0.2431,0.7000,0.2600,0.0771,0.2309,1.0000,0.2135,0.4240
+ Cross-Encoder,0.2000,0.0003,0.2000,0.2000,0.3333,0.0033,0.2551,0.6000,0.3200,0.0048,0.2476,0.6000,0.3000,0.0082,0.2431,0.7000,0.2600,0.0771,0.2309,1.0000,0.2135,0.4240
+ RAG-Fusion + MMR (Full),0.2000,0.0004,0.1333,0.2000,0.1667,0.0014,0.1453,0.4000,0.1200,0.0014,0.1181,0.4000,0.1300,0.0029,0.1215,0.7000,0.2840,0.0888,0.2114,1.0000,0.2183,0.3601
