config,P@1,R@1,NDCG@1,HitRate@1,P@3,R@3,NDCG@3,HitRate@3,P@5,R@5,NDCG@5,HitRate@5,P@10,R@10,NDCG@10,HitRate@10,P@100,R@100,NDCG@100,HitRate@100,MAP,MRR
TF-IDF only,0.1250,0.0005,0.1083,0.1250,0.1583,0.0020,0.1330,0.3250,0.1350,0.0028,0.1185,0.3500,0.1325,0.0052,0.1132,0.4750,0.0688,0.0327,0.0647,0.9500,0.0145,0.2599
BM25 only,0.1250,0.0008,0.1250,0.1250,0.0917,0.0017,0.0946,0.2000,0.0800,0.0022,0.0789,0.2500,0.0900,0.0042,0.0836,0.4000,0.0638,0.0300,0.0579,0.9000,0.0126,0.2141
Hybrid lexical (TF-IDF+BM25),0.1250,0.0006,0.1083,0.1250,0.1167,0.0016,0.1025,0.2250,0.1250,0.0029,0.1052,0.3750,0.1225,0.0053,0.1024,0.4250,0.0653,0.0311,0.0611,0.9000,0.0138,0.2323
Embeddings (E5),0.0500,0.0003,0.0500,0.0500,0.0333,0.0007,0.0333,0.1000,0.0300,0.0011,0.0290,0.1500,0.0350,0.0018,0.0301,0.2500,0.0370,0.0208,0.0316,0.8000,0.0081,0.1224
+ L1 hybrid signals,0.0500,0.0003,0.0500,0.0500,0.0333,0.0007,0.0333,0.1000,0.0300,0.0011,0.0290,0.1500,0.0325,0.0017,0.0287,0.2500,0.0385,0.0214,0.0321,0.8250,0.0084,0.1235
+ Cross-Encoder,0.0500,0.0003,0.0500,0.0500,0.0333,0.0007,0.0333,0.1000,0.0300,0.0011,0.0290,0.1500,0.0325,0.0017,0.0287,0.2500,0.0385,0.0214,0.0321,0.8250,0.0084,0.1235
+ RAG-Fusion + MMR (Full),0.2000,0.0011,0.1500,0.2000,0.0833,0.0013,0.0821,0.2250,0.0700,0.0018,0.0660,0.2750,0.0525,0.0027,0.0539,0.3250,0.0578,0.0269,0.0511,0.9000,0.0141,0.2480
